Region,Year,Latitude,Longitude,Rainfall_mm,Temperature_C,Soil_pH,Crop_Yield_ton_per_hectare
Pune,2018,16.46,78.46,567,29.87,6.66,1.64
Pune,2019,17.58,73.61,542,25.61,6.7,2.02
Pune,2020,20.82,75.67,575,28.05,6.87,2.08
Pune,2021,18.08,79.51,683,24.15,6.8,2.72
Pune,2022,17.38,76.84,760,29.63,6.65,2.27
Pune,2023,18.14,74.35,900,25.23,6.69,2.92
Pune,2024,18.86,75.56,791,26.68,7.16,2.62
Nashik,2018,16.86,73.58,567,25.86,6.48,2.13
Nashik,2019,18.6,75.93,685,29.44,6.38,2.15
Nashik,2020,18.53,75.99,521,27.94,6.46,1.57
Nashik,2021,20.0,76.08,893,27.15,6.9,3.25
Nashik,2022,20.1,73.37,535,27.89,6.76,2.02
Nashik,2023,16.86,76.14,934,27.97,7.04,3.14
Nashik,2024,16.24,73.67,873,26.91,6.34,2.58
Nagpur,2018,17.95,75.1,680,29.71,6.46,2.02
Nagpur,2019,21.21,76.22,634,26.76,6.98,2.49
Nagpur,2020,20.05,78.6,517,25.42,6.57,1.72
Nagpur,2021,17.4,74.23,921,28.3,6.35,2.85
Nagpur,2022,16.42,75.5,725,26.85,7.14,2.74
Nagpur,2023,16.25,78.3,896,24.04,6.62,2.99
Nagpur,2024,16.33,76.79,815,26.42,6.79,2.54
Aurangabad,2018,20.87,77.07,661,28.79,6.74,2.08
Aurangabad,2019,16.11,77.79,595,24.2,6.73,2.33
Aurangabad,2020,21.85,74.92,787,27.16,7.18,2.86
Aurangabad,2021,19.78,79.37,838,29.07,6.37,2.58
Aurangabad,2022,20.85,76.85,747,28.23,6.66,2.31
Aurangabad,2023,19.17,78.75,741,26.17,6.26,2.07
Aurangabad,2024,16.14,76.67,940,24.59,6.77,3.01
Solapur,2018,16.07,75.09,660,29.96,6.44,1.64
Solapur,2019,20.98,79.49,936,24.64,6.97,3.17
Solapur,2020,17.13,79.39,626,25.63,6.48,1.83
Solapur,2021,21.46,73.21,916,25.94,6.94,2.93
Solapur,2022,20.18,76.69,850,27.21,6.52,2.81
Solapur,2023,16.96,74.35,853,26.27,6.41,2.93
Solapur,2024,20.97,73.75,760,24.77,7.03,2.6
Kolhapur,2018,21.64,78.74,906,26.3,6.85,3.09
Kolhapur,2019,20.51,73.43,926,25.45,6.21,2.99
Kolhapur,2020,18.7,79.12,591,24.02,6.35,1.7
Kolhapur,2021,17.63,74.84,683,24.24,7.19,2.81
Kolhapur,2022,19.82,78.33,663,28.86,6.29,1.7
Kolhapur,2023,20.08,76.15,521,26.77,6.64,1.53
Kolhapur,2024,20.11,78.72,809,28.05,6.7,2.75
Satara,2018,19.39,75.13,837,25.74,6.71,2.87
Satara,2019,17.55,78.93,603,28.08,6.32,1.56
Satara,2020,19.8,74.97,718,28.52,6.74,2.29
Satara,2021,21.37,73.4,543,27.11,6.93,1.68
Satara,2022,19.52,77.08,932,27.59,6.54,3.2
Satara,2023,16.69,73.37,528,25.02,6.55,1.9
Satara,2024,19.38,77.37,768,27.86,6.53,2.13
Ahmednagar,2018,17.47,79.78,674,29.42,6.8,1.99
Ahmednagar,2019,17.22,79.5,716,24.81,7.16,2.7
Ahmednagar,2020,16.26,79.52,830,28.13,6.46,2.77
Ahmednagar,2021,17.63,74.93,940,24.97,6.25,2.66
Ahmednagar,2022,21.69,73.64,877,24.71,6.41,2.99
Ahmednagar,2023,21.63,76.29,584,25.42,6.21,1.57
Ahmednagar,2024,21.12,77.4,656,28.94,6.81,2.07
Jalgaon,2018,21.01,79.08,743,28.18,7.09,2.34
Jalgaon,2019,18.83,75.38,861,29.0,6.44,2.68
Jalgaon,2020,18.25,78.43,556,28.09,6.62,1.72
Jalgaon,2021,19.18,77.79,792,29.36,6.72,2.21
Jalgaon,2022,20.76,73.36,543,27.37,6.85,2.06
Jalgaon,2023,18.86,76.14,878,26.92,6.86,3.07
Jalgaon,2024,16.66,78.87,532,28.5,7.04,2.11
Amravati,2018,19.06,76.27,907,28.76,6.93,2.72
Amravati,2019,21.0,74.66,892,27.41,6.54,2.98
Amravati,2020,16.02,79.01,848,29.79,6.46,2.35
Amravati,2021,16.88,76.78,792,26.36,7.04,2.91
Amravati,2022,16.44,74.47,881,25.66,6.65,3.16
Amravati,2023,17.07,77.46,530,25.69,6.67,2.14
Amravati,2024,18.05,77.99,588,24.59,7.19,2.61
